,Country,ISO3 Code,Date,Price (EUR/MWhe),date,day,month,year
240,Bulgaria,BGR,2018-04-01,28.35,2018-04-01,1,4,2018
241,Bulgaria,BGR,2018-05-01,37.31,2018-05-01,1,5,2018
242,Bulgaria,BGR,2018-06-01,36.05,2018-06-01,1,6,2018
243,Bulgaria,BGR,2018-07-01,33.23,2018-07-01,1,7,2018
244,Bulgaria,BGR,2018-08-01,40.05,2018-08-01,1,8,2018
245,Bulgaria,BGR,2018-09-01,47.21,2018-09-01,1,9,2018
246,Bulgaria,BGR,2018-10-01,52.01,2018-10-01,1,10,2018
247,Bulgaria,BGR,2018-11-01,45.58,2018-11-01,1,11,2018
248,Bulgaria,BGR,2018-12-01,57.22,2018-12-01,1,12,2018
249,Bulgaria,BGR,2019-01-01,67.38,2019-01-01,1,1,2019
250,Bulgaria,BGR,2019-02-01,39.65,2019-02-01,1,2,2019
251,Bulgaria,BGR,2019-03-01,35.14,2019-03-01,1,3,2019
252,Bulgaria,BGR,2019-04-01,41.59,2019-04-01,1,4,2019
253,Bulgaria,BGR,2019-05-01,41.63,2019-05-01,1,5,2019
254,Bulgaria,BGR,2019-06-01,40.49,2019-06-01,1,6,2019
255,Bulgaria,BGR,2019-07-01,55.48,2019-07-01,1,7,2019
256,Bulgaria,BGR,2019-08-01,52.15,2019-08-01,1,8,2019
257,Bulgaria,BGR,2019-09-01,55.3,2019-09-01,1,9,2019
258,Bulgaria,BGR,2019-10-01,55.81,2019-10-01,1,10,2019
259,Bulgaria,BGR,2019-11-01,41.46,2019-11-01,1,11,2019
260,Bulgaria,BGR,2019-12-01,42.51,2019-12-01,1,12,2019
261,Bulgaria,BGR,2020-01-01,54.99,2020-01-01,1,1,2020
262,Bulgaria,BGR,2020-02-01,41.41,2020-02-01,1,2,2020
263,Bulgaria,BGR,2020-03-01,28.27,2020-03-01,1,3,2020
264,Bulgaria,BGR,2020-04-01,24.83,2020-04-01,1,4,2020
265,Bulgaria,BGR,2020-05-01,23.36,2020-05-01,1,5,2020
266,Bulgaria,BGR,2020-06-01,30.5,2020-06-01,1,6,2020
267,Bulgaria,BGR,2020-07-01,36.78,2020-07-01,1,7,2020
268,Bulgaria,BGR,2020-08-01,37.44,2020-08-01,1,8,2020
269,Bulgaria,BGR,2020-09-01,46.21,2020-09-01,1,9,2020
270,Bulgaria,BGR,2020-10-01,43.12,2020-10-01,1,10,2020
271,Bulgaria,BGR,2020-11-01,47.72,2020-11-01,1,11,2020
272,Bulgaria,BGR,2020-12-01,56.76,2020-12-01,1,12,2020
273,Bulgaria,BGR,2021-01-01,53.17,2021-01-01,1,1,2021
274,Bulgaria,BGR,2021-02-01,46.87,2021-02-01,1,2,2021
275,Bulgaria,BGR,2021-03-01,52.08,2021-03-01,1,3,2021
276,Bulgaria,BGR,2021-04-01,61.75,2021-04-01,1,4,2021
277,Bulgaria,BGR,2021-05-01,60.02,2021-05-01,1,5,2021
278,Bulgaria,BGR,2021-06-01,77.16,2021-06-01,1,6,2021
279,Bulgaria,BGR,2021-07-01,95.0,2021-07-01,1,7,2021
280,Bulgaria,BGR,2021-08-01,111.53,2021-08-01,1,8,2021
281,Bulgaria,BGR,2021-09-01,125.07,2021-09-01,1,9,2021
282,Bulgaria,BGR,2021-10-01,188.57,2021-10-01,1,10,2021
283,Bulgaria,BGR,2021-11-01,208.7,2021-11-01,1,11,2021
284,Bulgaria,BGR,2021-12-01,219.75,2021-12-01,1,12,2021
285,Bulgaria,BGR,2022-01-01,186.43,2022-01-01,1,1,2022
286,Bulgaria,BGR,2022-02-01,187.54,2022-02-01,1,2,2022
287,Bulgaria,BGR,2022-03-01,248.88,2022-03-01,1,3,2022
288,Bulgaria,BGR,2022-04-01,174.51,2022-04-01,1,4,2022
289,Bulgaria,BGR,2022-05-01,201.8,2022-05-01,1,5,2022
290,Bulgaria,BGR,2022-06-01,223.16,2022-06-01,1,6,2022
291,Bulgaria,BGR,2022-07-01,323.4,2022-07-01,1,7,2022
292,Bulgaria,BGR,2022-08-01,433.22,2022-08-01,1,8,2022
293,Bulgaria,BGR,2022-09-01,375.13,2022-09-01,1,9,2022
294,Bulgaria,BGR,2022-10-01,205.92,2022-10-01,1,10,2022
295,Bulgaria,BGR,2022-11-01,220.23,2022-11-01,1,11,2022
296,Bulgaria,BGR,2022-12-01,246.56,2022-12-01,1,12,2022
297,Bulgaria,BGR,2023-01-01,136.3,2023-01-01,1,1,2023
298,Bulgaria,BGR,2023-02-01,142.37,2023-02-01,1,2,2023
299,Bulgaria,BGR,2023-03-01,108.43,2023-03-01,1,3,2023
300,Bulgaria,BGR,2023-04-01,98.81,2023-04-01,1,4,2023
301,Bulgaria,BGR,2023-05-01,87.29,2023-05-01,1,5,2023
302,Bulgaria,BGR,2023-06-01,84.97,2023-06-01,1,6,2023
303,Bulgaria,BGR,2023-07-01,96.65,2023-07-01,1,7,2023
304,Bulgaria,BGR,2023-08-01,101.39,2023-08-01,1,8,2023
305,Bulgaria,BGR,2023-09-01,101.66,2023-09-01,1,9,2023
306,Bulgaria,BGR,2023-10-01,106.81,2023-10-01,1,10,2023
307,Bulgaria,BGR,2023-11-01,102.89,2023-11-01,1,11,2023
308,Bulgaria,BGR,2023-12-01,81.41,2023-12-01,1,12,2023
309,Bulgaria,BGR,2024-01-01,89.72,2024-01-01,1,1,2024
310,Bulgaria,BGR,2024-02-01,69.96,2024-02-01,1,2,2024
311,Bulgaria,BGR,2024-03-01,63.31,2024-03-01,1,3,2024
312,Switzerland,CHE,2015-01-01,44.0,2015-01-01,1,1,2015
313,Switzerland,CHE,2015-02-01,50.86,2015-02-01,1,2,2015
314,Switzerland,CHE,2015-03-01,44.48,2015-03-01,1,3,2015
315,Switzerland,CHE,2015-04-01,38.23,2015-04-01,1,4,2015
316,Switzerland,CHE,2015-05-01,25.04,2015-05-01,1,5,2015
317,Switzerland,CHE,2015-06-01,30.45,2015-06-01,1,6,2015
318,Switzerland,CHE,2015-07-01,35.98,2015-07-01,1,7,2015
319,Switzerland,CHE,2015-08-01,32.3,2015-08-01,1,8,2015
320,Switzerland,CHE,2015-09-01,36.57,2015-09-01,1,9,2015
321,Switzerland,CHE,2015-10-01,45.54,2015-10-01,1,10,2015
322,Switzerland,CHE,2015-11-01,48.17,2015-11-01,1,11,2015
323,Switzerland,CHE,2015-12-01,52.24,2015-12-01,1,12,2015
